commune,organisme,email,adresse_mairie,code_postal,ville,url
Amfreville-sur-Iton,Mairie - Amfreville-sur-Iton,secretariat@mairie-amfreville-sur-iton.fr,1 route d'Évreux,27400,Amfreville-sur-Iton,https://lannuaire.service-public.gouv.fr/normandie/eure/6cc987bb-ba3e-44ec-b7b4-6bd781058df6
Amécourt,Mairie - Amécourt,mairie.amecourt27@pole-secretariat.fr,1 chemin de l'Epine,27140,Amécourt,https://lannuaire.service-public.gouv.fr/normandie/eure/6dc9a61b-b61e-442c-ad14-de0adff6c5a7
Andé,Mairie - Andé,mairie@ande.fr,5 rue des Écoles,27430,Andé,https://lannuaire.service-public.gouv.fr/normandie/eure/8c068ba8-1aa3-4e09-8f74-0fdc1737dd81
Angerville-la-Campagne,Mairie - Angerville-la-Campagne,angerville27mairie@wanadoo.fr,16 rue de la Ferme,27930,Angerville-la-Campagne,https://lannuaire.service-public.gouv.fr/normandie/eure/be9083dc-c045-4c82-9f70-1ff670aeabe8
Appeville-Annebault,Mairie - Appeville-Annebault,administration.mairie@appeville-annebault.fr,17 route de Bourneville,27290,Appeville-Annebault,https://lannuaire.service-public.gouv.fr/normandie/eure/4967c743-24ed-4250-9339-96fc0e99fc5e
Armentières-sur-Avre,Mairie - Armentières-sur-Avre,armentieressuravre.mairie@gmail.com,21 rue de la Détourbe,27820,Armentières-sur-Avre,https://lannuaire.service-public.gouv.fr/normandie/eure/b27f39e6-6621-48c5-a38c-618a62cc2446
Arnières-sur-Iton,Mairie - Arnières-sur-Iton,secretariat@arnieres-sur-iton.fr,10 rue Aristide-Briand,27180,Arnières-sur-Iton,https://lannuaire.service-public.gouv.fr/normandie/eure/7c4c3a06-cf17-4721-910b-d925b3876302
Asnières,Mairie - Asnières,secretariat@mairieasnieres27.fr,12 place de la Mairie,27260,Asnières,https://lannuaire.service-public.gouv.fr/normandie/eure/84094e87-3a81-449e-900a-5cd25f1ec3ce
Aulnay-sur-Iton,Mairie - Aulnay-sur-Iton,mairie.aulnaysuriton@orange.fr,2 rue de Boutigny,27180,Aulnay-sur-Iton,https://lannuaire.service-public.gouv.fr/normandie/eure/37df2f5d-47e4-4382-8ff4-ac336a465110
Autheuil-Authouillet,Mairie - Autheuil-Authouillet,mairie-autheuil-authouillet@wanadoo.fr,44 rue Yves-Montand,27490,Autheuil-Authouillet,https://lannuaire.service-public.gouv.fr/normandie/eure/a14d9dd1-8ff6-405b-b58c-77cc7ff27537
Authevernes,Mairie - Authevernes,mairie@authevernes.fr,2 place de l'Église,27420,Authevernes,https://lannuaire.service-public.gouv.fr/normandie/eure/a172c3df-7a50-4a43-bd3b-f64a461f18b7
Authou,Mairie - Authou,mairie.authou@orange.fr,17 route du Lavoir,27290,Authou,https://lannuaire.service-public.gouv.fr/normandie/eure/f0e9ae21-25f8-49d0-87c8-d6d129a18089
Aviron,Mairie - Aviron,aviron.mairie2@wanadoo.fr,3 rue de la Mairie,27930,Aviron,https://lannuaire.service-public.gouv.fr/normandie/eure/c7b3c292-ab1b-4fbd-b3df-988dd54250e6
Bacquepuis,Mairie - Bacquepuis,mairie.bacquepuis@orange.fr,20 rue du Bout-de-la-Ferme,27930,Bacquepuis,https://lannuaire.service-public.gouv.fr/normandie/eure/bb64dac6-c60e-4189-b755-bd4bb7d18c96
Bacqueville,Mairie - Bacqueville,mairie.bacqueville@wanadoo.fr,Route de Bonnemare,27440,Bacqueville,https://lannuaire.service-public.gouv.fr/normandie/eure/73c5e131-4626-4a80-935b-b062b078b475
Bailleul-la-Vallée,Mairie - Bailleul-la-Vallée,mairie.bailleullavallee@laposte.net,3 rue de la Mairie,27260,Bailleul-la-Vallée,https://lannuaire.service-public.gouv.fr/normandie/eure/6f03e884-589c-42d6-9ebc-2b6d7cce7546
Barc,Mairie - Barc,mairie@mairie-barc.fr,Place de la Mairie,27170,Barc,https://lannuaire.service-public.gouv.fr/normandie/eure/0608777b-f78d-4a42-9987-7086da4942a8
Barneville-sur-Seine,Mairie - Barneville-sur-Seine,mairie.barnevillesurseine@wanadoo.fr,660 rue du Village,27310,Barneville-sur-Seine,https://lannuaire.service-public.gouv.fr/normandie/eure/c624672c-1e7a-44d1-9de4-e4d7cd73f292
Barquet,Mairie - Barquet,mairiedebarquet@wanadoo.fr,17 rue de la Mairie,27170,Barquet,https://lannuaire.service-public.gouv.fr/normandie/eure/917e87af-b421-4923-8cf1-3fdd10d2afce
Barville,Mairie - Barville,barville.mairie@orange.fr,180 allée des Sapins,27230,Barville,https://lannuaire.service-public.gouv.fr/normandie/eure/d1a45ed3-b3fb-4ef9-a7e7-16b66ff83a49
Bazincourt-sur-Epte,Mairie - Bazincourt-sur-Epte,secretariat@bazincourt-sur-epte.fr,6 rue de la Mairie,27140,Bazincourt-sur-Epte,https://lannuaire.service-public.gouv.fr/normandie/eure/08c07b5d-df9e-4d3e-9a36-2d61fbae1f34
Bazoques,Mairie - Bazoques,mairiebazoques@orange.fr,Le Bourg,27230,Bazoques,https://lannuaire.service-public.gouv.fr/normandie/eure/97683c88-5cb3-4bc6-9006-e66d30ead721
Beaubray,Mairie - Beaubray,mairie.beaubray@wibox.fr,9 rue du Moulin-à-Vent,27190,Beaubray,https://lannuaire.service-public.gouv.fr/normandie/eure/cb8edec3-1a72-42b7-9273-077220230564
Beauficel-en-Lyons,Mairie - Beauficel-en-Lyons,commune.beauficelenlyons@orange.fr,6 place de l'Église,27480,Beauficel-en-Lyons,https://lannuaire.service-public.gouv.fr/normandie/eure/13263caa-f911-4d04-9447-25f1be2ced62
Beaumont-le-Roger,Mairie - Beaumont-le-Roger,mairie1@beaumont-le-roger.fr,18 rue Chantereine,27170,Beaumont-le-Roger,https://lannuaire.service-public.gouv.fr/normandie/eure/cc601f66-504f-4bdd-b35d-db93574e4b1b
Beaumontel,Mairie - Beaumontel,mairie.beaumontel@wanadoo.fr,2 les Rus,27170,Beaumontel,https://lannuaire.service-public.gouv.fr/normandie/eure/5a43aa30-9bc0-41f3-b3fb-073e664901fa
Bernay,Mairie - Bernay,mairie@bernay27.fr,Place Gustave-Héon,27307,Bernay Cedex,https://lannuaire.service-public.gouv.fr/normandie/eure/f42495a7-4bbf-4e22-8358-6fef4e3a25ed
Bernienville,Mairie - Bernienville,mairie.bernienville@gmail.com,Rue de la Mairie,27180,Bernienville,https://lannuaire.service-public.gouv.fr/normandie/eure/3c6c7c55-23a0-4558-ac7f-54d610fcf45c
Bernouville,Mairie - Bernouville,mairie.bernouville@gmail.com,Rue Georges-Joignet,27660,Bernouville,https://lannuaire.service-public.gouv.fr/normandie/eure/6fdacd06-73ec-4f04-947e-e774785d0d98
Berthouville,Mairie - Berthouville,mairie.berthouville@orange.fr,361 rue de la Mairie,27800,Berthouville,https://lannuaire.service-public.gouv.fr/normandie/eure/333b071e-6113-4e26-a393-13e080535235
Berville-la-Campagne,Mairie - Berville-la-Campagne,mairie.berville.l.c@wanadoo.fr,3 rue de l'Église,27170,Berville-la-Campagne,https://lannuaire.service-public.gouv.fr/normandie/eure/4dbba50c-a09f-4721-85a4-f3b4d9ffdf0b
Berville-sur-Mer,Mairie - Berville-sur-Mer,mairie-berville-sur-mer@wanadoo.fr,30 rue de la République,27210,Berville-sur-Mer,https://lannuaire.service-public.gouv.fr/normandie/eure/2ec0368f-fdc0-45d8-a302-874aaa18c447
Beuzeville,Mairie - Beuzeville,mairie@beuzeville.fr,Place du Général-de-Gaulle,27210,Beuzeville,https://lannuaire.service-public.gouv.fr/normandie/eure/d47ed7fd-b3a6-4d37-95a6-d194c1f902f5
Bois-Anzeray,Mairie - Bois-Anzeray,mairie.bois.anzeray@wanadoo.fr,1 place Notre-Dame,27330,Bois-Anzeray,https://lannuaire.service-public.gouv.fr/normandie/eure/d8a3d6df-8c6f-40ff-9ddb-6b230c80126a
Bois-Arnault,Mairie - Bois-Arnault,mairie.boisarnault@wanadoo.fr,2 rue de la Mairie,27250,Bois-Arnault,https://lannuaire.service-public.gouv.fr/normandie/eure/d19932d5-95de-4c1f-8a1a-9b0fd7de5c11
Bois-Jérôme-Saint-Ouen,Mairie - Bois-Jérôme-Saint-Ouen,mairie.boisjeromestouen@orange.fr,4 rue de l'Abbé-Seyer,27620,Bois-Jérôme-Saint-Ouen,https://lannuaire.service-public.gouv.fr/normandie/eure/fe6eff93-562c-42fc-a354-3d027f8e6d68
Bois-Normand-près-Lyre,Mairie - Bois-Normand-près-Lyre,mairie.bois-normand@wanadoo.fr,2 route de Glos,27330,Bois-Normand-près-Lyre,https://lannuaire.service-public.gouv.fr/normandie/eure/479859b5-c6eb-483f-b02b-355bb6fb1c55
Bois-le-Roy,Mairie - Bois-le-Roy,mairie@boisleroy27.fr,Rue de la Mairie,27220,Bois-le-Roy,https://lannuaire.service-public.gouv.fr/normandie/eure/fd2fad2c-542c-4a5b-a9f5-b50a4408808b
Boisney,Mairie - Boisney,mairie.boisney@wanadoo.fr,Rue de la Mairie,27800,Boisney,https://lannuaire.service-public.gouv.fr/normandie/eure/1eb3bd9c-62bb-41e5-ba2f-4ad321bb59b4
Boisset-les-Prévanches,Mairie - Boisset-les-Prévanches,boisset.prevanches@wanadoo.fr,1 rue de la Mairie,27120,Boisset-les-Prévanches,https://lannuaire.service-public.gouv.fr/normandie/eure/41eea0b1-d836-4811-812d-8c5523e6aba4
Boissey-le-Châtel,Mairie - Boissey-le-Châtel,mairie-boissey@wanadoo.fr,1 place de la Mairie,27520,Boissey-le-Châtel,https://lannuaire.service-public.gouv.fr/normandie/eure/0ed483d3-a717-4d9d-90a1-f10dc7d3e7c9
Boissy-Lamberville,Mairie - Boissy-Lamberville,mairie.boissy@wanadoo.fr,29 route du Lieuvin,27300,Boissy-Lamberville,https://lannuaire.service-public.gouv.fr/normandie/eure/e1d2e1ae-e62d-45c6-8c3a-326af478ed8f
Boncourt,Mairie - Boncourt,mairiedeboncourt@wanadoo.fr,10 rue des Vergers,27120,Boncourt,https://lannuaire.service-public.gouv.fr/normandie/eure/9d27a1e3-5051-494d-a247-2393e20c198f
Bonneville-Aptot,Mairie - Bonneville-Aptot,mairie.bonneville-aptot@orange.fr,111 le Village,27290,Bonneville-Aptot,https://lannuaire.service-public.gouv.fr/normandie/eure/908e178b-6732-4fc5-9a3a-f071bb366116
Bosgouet,Mairie - Bosgouet,secretariat@mairie-bosgouet.fr,268 rue du Village,27310,Bosgouet,https://lannuaire.service-public.gouv.fr/normandie/eure/a494efba-e5d5-4d55-b38b-6c951d53c615
Bosquentin,Mairie - Bosquentin,mairie.bosquentin@orange.fr,2 bis rue des Tilleuls,27480,Bosquentin,https://lannuaire.service-public.gouv.fr/normandie/eure/5e934fe1-79f9-4e3b-a51e-e5ea3cccef4c
Bosrobert,Mairie - Bosrobert,mairiedebosrobert@orange.fr,11 route de la Mairie,27800,Bosrobert,https://lannuaire.service-public.gouv.fr/normandie/eure/2cb14303-8fe0-4cce-81f1-de21bcc16b5d
Bosroumois,Mairie - Bosroumois,accueil@ville-bosroumois.fr,Place Jean-Guenier,27670,Bosroumois,https://lannuaire.service-public.gouv.fr/normandie/eure/98874f88-24fc-4818-b3ee-715553ed0b7e
Bouafles,Mairie - Bouafles,mairie-bouafles27@orange.fr,28 Haute-rue,27700,Bouafles,https://lannuaire.service-public.gouv.fr/normandie/eure/112b0016-24d4-427c-bc4c-4a930a56e009
Bouchevilliers,Mairie - Bouchevilliers,mairie.bouchevilliers@orange.fr,Rue du Hameau,27150,Bouchevilliers,https://lannuaire.service-public.gouv.fr/normandie/eure/51a0dc93-089f-4c6a-b97a-ec7fe37f7f77
Boulleville,Mairie - Boulleville,mairie.boulleville@gmail.com,1149 route de Honfleur,27210,Boulleville,https://lannuaire.service-public.gouv.fr/normandie/eure/241900f8-4f7d-4107-8be6-6a66581c097b
Bouquelon,Mairie - Bouquelon,bouquelon.mairie@wanadoo.fr,1 place de l'Église,27500,Bouquelon,https://lannuaire.service-public.gouv.fr/normandie/eure/711c76a4-4b5a-437a-91b0-2717f9be90a7
Bouquetot,Mairie - Bouquetot,mairie.bouquetot@wanadoo.fr,91 rue de l'Église,27310,Bouquetot,https://lannuaire.service-public.gouv.fr/normandie/eure/905bdbf0-3a39-4bc2-b46c-fe0897de0c17
Bourg-Achard,Mairie - Bourg-Achard,contact@mairie-bourgachard.fr,Place de la Mairie,27310,Bourg-Achard,https://lannuaire.service-public.gouv.fr/normandie/eure/7c59d06b-24ee-47fc-8224-f4a30ef6c537
Bourg-Beaudouin,Mairie - Bourg-Beaudouin,mairie-bourgbeaudouin@orange.fr,13 route de Paris,27380,Bourg-Beaudouin,https://lannuaire.service-public.gouv.fr/normandie/eure/7149f9b7-94a2-439c-ad5b-c46dcb1fab0e
Bournainville-Faverolles,Mairie - Bournainville-Faverolles,mairiebournainvillefaverolles@orange.fr,17 rue du Chanoine-Porée,27230,Bournainville-Faverolles,https://lannuaire.service-public.gouv.fr/normandie/eure/20eecf01-e0e9-497d-bf6a-01cdccdf71f4
Bourneville-Sainte-Croix,Mairie - Bourneville-Sainte-Croix,mairie@bourneville-sainte-croix.fr,1 place de la Mairie,27500,Bourneville-Sainte-Croix,https://lannuaire.service-public.gouv.fr/normandie/eure/1cdc32ca-f451-4081-85dc-476515bd6f3c
Bourth,Mairie - Bourth,mairie@bourth.fr,3 avenue de l'Europe,27580,Bourth,https://lannuaire.service-public.gouv.fr/normandie/eure/de4be02f-ecdd-489b-905b-659b1d01d3ea
Bray,Mairie - Bray,bray.mairie@orange.fr,2 rue des Écoles,27170,Bray,https://lannuaire.service-public.gouv.fr/normandie/eure/bc4c5ce6-9d99-4968-b7e9-cf348d31f9a2
Brestot,Mairie - Brestot,mairie.brestot@orange.fr,10 rue du Bourg,27350,Brestot,https://lannuaire.service-public.gouv.fr/normandie/eure/039ccbae-a2e3-4b90-8eb3-47ecd81d5fb7
Bretagnolles,Mairie - Bretagnolles,mairie.bretagnolles@orange.fr,10 rue de l'Église,27220,Bretagnolles,https://lannuaire.service-public.gouv.fr/normandie/eure/3285f5f8-4a59-48ec-80a4-a8d17ad479d6
Breteuil,Mairie - Breteuil,mairie-breteuil@breteuil27.fr,Rue Hückelhoven,27160,Breteuil,https://lannuaire.service-public.gouv.fr/normandie/eure/8fa979a3-7ef1-4596-9f2c-2bca64210c87
Breuilpont,Mairie - Breuilpont,mairiebreuilpont@wanadoo.fr,1 rue Guy-de-Maupassant,27640,Breuilpont,https://lannuaire.service-public.gouv.fr/normandie/eure/d0f0196a-af86-4215-b1b1-f6c5a107f984
Breux-sur-Avre,Mairie - Breux-sur-Avre,mairie@breux-sur-avre.fr,10 ancienne route du Mans Le Bourg,27570,Breux-sur-Avre,https://lannuaire.service-public.gouv.fr/normandie/eure/0b19da66-336b-4a4d-a56a-1bbf731ec306
Brionne,Mairie - Brionne,secretariat.mairie-brionne@wanadoo.fr,Rue de la Soie,27800,Brionne,https://lannuaire.service-public.gouv.fr/normandie/eure/5a7d0a09-8394-4e4b-87ac-f2b5142ae8c4
Broglie,Mairie - Broglie,mairie-broglie@wanadoo.fr,Place des Trois-Maréchaux,27270,Broglie,https://lannuaire.service-public.gouv.fr/normandie/eure/04771ee0-f686-439e-8eb6-7582ddce92b8
Brosville,Mairie - Brosville,brosville.mairie@wanadoo.fr,Place de la Mairie,27930,Brosville,https://lannuaire.service-public.gouv.fr/normandie/eure/9dba6cfb-1be1-4229-b938-1719c715482a
Brétigny,Mairie - Brétigny,mairie.bretigny27@orange.fr,4 rue du Bourg,27800,Brétigny,https://lannuaire.service-public.gouv.fr/normandie/eure/619edaea-212a-4052-b8e7-d0b969d167b3
Bueil,Mairie - Bueil,secretariat@ville-bueil.fr,28 Grande rue,27730,Bueil,https://lannuaire.service-public.gouv.fr/normandie/eure/242f5071-42e3-4779-93d2-965b01bbb063
Burey,Mairie - Burey,mairie.burey@wanadoo.fr,1 rue des Tilleuls,27190,Burey,https://lannuaire.service-public.gouv.fr/normandie/eure/099a30c0-a7d8-4642-91e8-f35b02fec892
Bâlines,Mairie - Bâlines,commune.balines@wanadoo.fr,30 route de Courteilles,27130,Bâlines,https://lannuaire.service-public.gouv.fr/normandie/eure/755c88ef-19da-4648-a34d-d43cff9954c9
Bémécourt,Mairie - Bémécourt,sivos@sivos-mairie-bemecourt.fr,1 place des Noës,27160,Bémécourt,https://lannuaire.service-public.gouv.fr/normandie/eure/0258ff89-d9fc-4597-a626-7b6294507279
Bérengeville-la-Campagne,Mairie - Bérengeville-la-Campagne,mairie.berengevillelacampagne@orange.fr,12 rue de la Mairie,27110,Bérengeville-la-Campagne,https://lannuaire.service-public.gouv.fr/normandie/eure/5867ec1c-036b-4076-ac05-e0f536424681
Bézu-Saint-Éloi,Mairie - Bézu-Saint-Éloi,mairie.bezu.st.eloi@wanadoo.fr,22 bis route de Gisors,27660,Bézu-Saint-Éloi,https://lannuaire.service-public.gouv.fr/normandie/eure/206bc845-e503-4bfb-8907-f811d91051ad
Bézu-la-Forêt,Mairie - Bézu-la-Forêt,mairie.bezulaforet@orange.fr,52 Maurepas,27480,Bézu-la-Forêt,https://lannuaire.service-public.gouv.fr/normandie/eure/256bfb3e-a0da-43ed-8746-071a6a720a00
Caillouet-Orgeville,Mairie - Caillouet-Orgeville,mairiecaillouetorgeville@orange.fr,8 rue de la Mairie,27120,Caillouet-Orgeville,https://lannuaire.service-public.gouv.fr/normandie/eure/37e9f5d1-fd39-44ec-ba7e-936d44105082
Cailly-sur-Eure,Mairie - Cailly-sur-Eure,mairie.cailly.sur.eure@wanadoo.fr,14 bis rue de la Mairie,27490,Cailly-sur-Eure,https://lannuaire.service-public.gouv.fr/normandie/eure/f92c0cd9-d6b1-49a1-8e91-bb24dd52ee3f
Calleville,Mairie - Calleville,calleville.mairie@wanadoo.fr,29 rue Jules-Quatrenoix,27800,Calleville,https://lannuaire.service-public.gouv.fr/normandie/eure/fc38809b-edb0-4a40-9a6c-f179d0662de6
Campigny,Mairie - Campigny,mairie.campigny27@orange.fr,10 place de la Pelouse,27500,Campigny,https://lannuaire.service-public.gouv.fr/normandie/eure/af997c3a-cacf-4bb9-b990-4f17ffe7f723
Canappeville,Mairie - Canappeville,mairie.canappeville27@orange.fr,220 rue de l'École,27400,Canappeville,https://lannuaire.service-public.gouv.fr/normandie/eure/f7c918dd-4d76-41c7-8b55-fa329893e9ae
Caorches-Saint-Nicolas,Mairie - Caorches-Saint-Nicolas,mairie.caorches.st.nicolas@wanadoo.fr,11 route d'Orbec,27300,Caorches-Saint-Nicolas,https://lannuaire.service-public.gouv.fr/normandie/eure/f12caf77-63b0-4171-b578-8d01731d506c
Capelle-les-Grands,Mairie - Capelle-les-Grands,mairie-capelles-les-grands@orange.fr,1 place des Canadiens,27270,Capelle-les-Grands,https://lannuaire.service-public.gouv.fr/normandie/eure/1fffa573-9a43-430c-b772-4b1e3d1ef646
Caugé,Mairie - Caugé,secretariat@mairie-cauge.fr,1 place Saint-Blaise,27180,Caugé,https://lannuaire.service-public.gouv.fr/normandie/eure/f33c0fba-d323-404a-8abd-afdc88b7baa7
Caumont,Mairie - Caumont,commune@caumont-normandie.fr,1 place Jacques-de-Colombel,27310,Caumont,https://lannuaire.service-public.gouv.fr/normandie/eure/e02f5f8c-2a61-4fdf-8a68-177030d42441
Cauverville-en-Roumois,Mairie - Cauverville-en-Roumois,mairiecauvervillenroumois@gmail.com,4 chemin de Rondemare,27350,Cauverville-en-Roumois,https://lannuaire.service-public.gouv.fr/normandie/eure/46be969a-fc9c-4b81-9b7d-c6893bca7739
Cesseville,Mairie - Cesseville,mairie.cesseville@orange.fr,1 route Hectomare,27110,Cesseville,https://lannuaire.service-public.gouv.fr/normandie/eure/61ccd6dd-3d8a-4858-a9c5-48bbb812fa21
Chaignes,Mairie - Chaignes,mairie.chaignes@wanadoo.fr,17 chemin du Val-du-Puits,27120,Chaignes,https://lannuaire.service-public.gouv.fr/normandie/eure/163e5b2b-39e7-413b-af75-77d38c5d748c
Chaise-Dieu-du-Theil,Mairie - Chaise-Dieu-du-Theil,chaisedieu@wanadoo.fr,Place Albert-de-Selle-de-Beauchamp,27580,Chaise-Dieu-du-Theil,https://lannuaire.service-public.gouv.fr/normandie/eure/eb99fad5-9649-4a45-a4ee-effddd56c062
Chamblac,Mairie - Chamblac,mairie-chamblac@wanadoo.fr,Le Bourg,27270,Chamblac,https://lannuaire.service-public.gouv.fr/normandie/eure/b6b7e053-e30e-4df7-a4d8-e6ab7dad3850
Chambois,Mairie - Chambois,mairie@chambois.fr,Avrilly 7 rue des Bordes,27240,Chambois,https://lannuaire.service-public.gouv.fr/normandie/eure/3e43ff37-6ef4-4ddc-bbaf-778e80b9e7ed
Chambord,Mairie - Chambord,mairie.chambord@wanadoo.fr,5 rue de la Mairie,27250,Chambord,https://lannuaire.service-public.gouv.fr/normandie/eure/2d47f87e-9a4a-456e-affb-ce0841345976
Chambray,Mairie - Chambray,mairiedechambray27120@orange.fr,1 rue de la Mairie,27120,Chambray,https://lannuaire.service-public.gouv.fr/normandie/eure/a84a01a8-afc0-4ed8-bcb4-5e722e1acfb2
Champ-Dolent,Mairie - Champ-Dolent,mairie.champ.dolent@wanadoo.fr,Place de la Mairie,27190,Champ-Dolent,https://lannuaire.service-public.gouv.fr/normandie/eure/ccef3432-3c61-4839-91c3-cbc6990b011f
Champenard,Mairie - Champenard,mairie-champenard@orange.fr,Place de la Mairie,27600,Champenard,https://lannuaire.service-public.gouv.fr/normandie/eure/7a1165be-104d-4c31-aa13-c01bd5805993
Champigny-la-Futelaye,Mairie - Champigny-la-Futelaye,mairie.champigny@wanadoo.fr,4 rue de la Libération,27220,Champigny-la-Futelaye,https://lannuaire.service-public.gouv.fr/normandie/eure/8f2d8eaf-01cb-48e1-b57e-53a3a7992198
Charleval,Mairie - Charleval,mairie@charleval.net,Place Général-de-Gaulle,27380,Charleval,https://lannuaire.service-public.gouv.fr/normandie/eure/2fdab848-f18a-4e7c-8d1a-a78ebaa21f02
Chauvincourt-Provemont,Mairie - Chauvincourt-Provemont,mairie.chauvincourt-provemont@orange.fr,1 rue de la Mairie,27150,Chauvincourt-Provemont,https://lannuaire.service-public.gouv.fr/normandie/eure/5eefe57d-12f2-4b2a-ba2b-0ee2c10f577e
Chavigny-Bailleul,Mairie - Chavigny-Bailleul,mairie.chavignybailleul@orange.fr,Rue de la Mairie,27220,Chavigny-Bailleul,https://lannuaire.service-public.gouv.fr/normandie/eure/5ec80154-5faa-4cb5-9c5f-b8750f4f6579
Chennebrun,Mairie - Chennebrun,mairie.chennebrun@gmail.com,8-10 place du Marché,27820,Chennebrun,https://lannuaire.service-public.gouv.fr/normandie/eure/a22e1d86-48cf-480c-933b-76e89ae15b3a
Château-sur-Epte,Mairie - Château-sur-Epte,mairie.chateausurepte.27@wanadoo.fr,1 route de Paris,27420,Château-sur-Epte,https://lannuaire.service-public.gouv.fr/normandie/eure/97eb1788-62d5-4d25-9b80-a908b086030e
Chéronvilliers,Mairie - Chéronvilliers,mairie@cheronvilliers.fr,1 rue Beaurepaire,27250,Chéronvilliers,https://lannuaire.service-public.gouv.fr/normandie/eure/4c609752-f512-4e8e-92c0-2e2c8e90f296
Cierrey,Mairie - Cierrey,mairie.cierrey@wanadoo.fr,4 rue René-Lefebvre,27930,Cierrey,https://lannuaire.service-public.gouv.fr/normandie/eure/89ccfa1e-bdde-44ea-be4d-922f07f24802
Claville,Mairie - Claville,mairie.claville@wanadoo.fr,10 place Bance,27180,Claville,https://lannuaire.service-public.gouv.fr/normandie/eure/0d03aa15-88ca-4582-9f90-084b55b49cb5
Clef-Vallée-d'Eure,Mairie - Clef-Vallée-d'Eure,mairie@clefve.fr,La Croix-Saint-Leufroy 6 rue de Louviers,27490,Clef-Vallée-d'Eure,https://lannuaire.service-public.gouv.fr/normandie/eure/4e251021-9f53-4e12-a6c4-e40e91c84cb9
Collandres-Quincarnon,Mairie - Collandres-Quincarnon,collandres.quincarnon@orange.fr,2 rue du Beau-Marcée,27190,Collandres-Quincarnon,https://lannuaire.service-public.gouv.fr/normandie/eure/5e255404-77e5-4b7a-a1c5-908758419afb
Colletot,Mairie - Colletot,colletot@wanadoo.fr,182 rue de la Mairie,27500,Colletot,https://lannuaire.service-public.gouv.fr/normandie/eure/f613f88c-daff-468e-a306-7fb22f33dfc5
Combon,Mairie - Combon,mairie@mairie-de-combon.fr,17 rue de la Mairie,27170,Combon,https://lannuaire.service-public.gouv.fr/normandie/eure/25cfc9fb-d5ee-4f72-bb12-52b9979791c2
Conches-en-Ouche,Mairie - Conches-en-Ouche,accueil@conchesenouche.com,Impasse de l'Hôtel-de-Ville,27190,Conches-en-Ouche,https://lannuaire.service-public.gouv.fr/normandie/eure/117c625b-9d7a-45f5-b6be-0f47e126f780
Condé-sur-Risle,Mairie - Condé-sur-Risle,contact@mairieconde.fr,5 rue du Village,27290,Condé-sur-Risle,https://lannuaire.service-public.gouv.fr/normandie/eure/c7ba1cb1-a545-4f7b-aec0-377b7ad51ac9
Connelles,Mairie - Connelles,communeconnelles@orange.fr,19 route d'Amfreville-sous-les-Monts,27430,Connelles,https://lannuaire.service-public.gouv.fr/normandie/eure/50678921-d7f1-4a20-a6fd-3979fda3b76c
