commune,organisme_mairie,email_mairie,adresse_mairie,code_postal_mairie,ville_mairie,site_mairie,nb_dae,nb_dae_en_service,nb_dae_hors_service,nb_dae_24_7,nb_dae_accessibles_public,nb_dae_exterieur,nb_dae_interieur,types_dae,horaires_declares,notes_accessibilite,adresses_exemples,score_besoin,priorite_besoin,points_attention
Ecquetot,Mairie - Ecquetot,ecquetot.mairie@gmail.com,2 rue des Canadiens,27110,Ecquetot,https://lannuaire.service-public.gouv.fr/normandie/eure/fd637d78-1073-4ce0-85db-6bdc05581a1f,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Epieds,Mairie - Epieds,commune-epieds@orange.fr,Place Henri-IV,27730,Epieds,https://lannuaire.service-public.gouv.fr/normandie/eure/e1ac6853-9649-4179-bc15-91f52a12d846,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Fains,Mairie - Fains,communefains@orange.fr,6 rue de Garennes,27120,Fains,https://lannuaire.service-public.gouv.fr/normandie/eure/aaa9b125-69b2-4764-99a2-bd375dacd932,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Faverolles-la-Campagne,Mairie - Faverolles-la-Campagne,mairie.faverolles-la-campagne@orange.fr,1 rue de la Mairie,27190,Faverolles-la-Campagne,https://lannuaire.service-public.gouv.fr/normandie/eure/5f48d116-a279-4367-9b8a-301af6c2f9ee,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Ferrières-Saint-Hilaire,Mairie - Ferrières-Saint-Hilaire,mairie.ferrieres.st.hilaire@wanadoo.fr,3 rue Jeanne-de-Tilly,27270,Ferrières-Saint-Hilaire,https://lannuaire.service-public.gouv.fr/normandie/eure/6d9247c4-9ea9-4142-87e6-d2bd07e3a897,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Feuguerolles,Mairie - Feuguerolles,mairie.feuguerolles@orange.fr,Rue Saint-Amant,27110,Feuguerolles,https://lannuaire.service-public.gouv.fr/normandie/eure/2d37fc9f-3adb-4c28-9b68-1c96c3dba7d1,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Fiquefleur-Équainville,Mairie - Fiquefleur-Équainville,fiquefleur.mairie@wanadoo.fr,1773 route de la Morelle,27210,Fiquefleur-Équainville,https://lannuaire.service-public.gouv.fr/normandie/eure/d8e0a81f-1012-4788-b7d1-264a3a8abfa0,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Folleville,Mairie - Folleville,mairie-folleville@orange.fr,L'Église,27230,Folleville,https://lannuaire.service-public.gouv.fr/normandie/eure/0ed2d4a8-f75e-4fa1-a442-ae776cc9af24,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Fontaine-Bellenger,Mairie - Fontaine-Bellenger,secretariat@fontainebellenger27.com,2 place Étienne-Lemeilleur,27600,Fontaine-Bellenger,https://lannuaire.service-public.gouv.fr/normandie/eure/e6f2c703-ec54-4632-acd9-2b9324db7c4e,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Fontaine-l'Abbé,Mairie - Fontaine-l'Abbé,mairie.fontainelabbe@wanadoo.fr,107 rue de la Fausse-Acre,27470,Fontaine-l'Abbé,https://lannuaire.service-public.gouv.fr/normandie/eure/499bb1ed-f6e3-4a48-82a8-41cf77abb556,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Fort-Moville,Mairie - Fort-Moville,mairie.fort.moville@orange.fr,Le Bourg,27210,Fort-Moville,https://lannuaire.service-public.gouv.fr/normandie/eure/505d9ce0-19b5-49b0-9b04-ae8dc7e966ef,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Foucrainville,Mairie - Foucrainville,commune.foucrainville@orange.fr,7 bis rue du Milbert,27220,Foucrainville,https://lannuaire.service-public.gouv.fr/normandie/eure/fecd27f7-43ea-4d07-a706-5a7438e48c69,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Foulbec,Mairie - Foulbec,contact@mairiefoulbec.fr,33 rue de la Forge,27210,Foulbec,https://lannuaire.service-public.gouv.fr/normandie/eure/7bf2b32c-58e3-463f-9062-086680aa948a,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Fouqueville,Mairie - Fouqueville,mairie.fouqueville@wanadoo.fr,20 rue Léon-Loubet,27370,Fouqueville,https://lannuaire.service-public.gouv.fr/normandie/eure/589bf354-b557-4fb7-b359-04328cf0ccc3,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Freneuse-sur-Risle,Mairie - Freneuse-sur-Risle,freneuse.sur.risle@orange.fr,6 place de la Mairie,27290,Freneuse-sur-Risle,https://lannuaire.service-public.gouv.fr/normandie/eure/dbdc95df-efbe-49cd-a07e-85502dc7f329,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Fresney,Mairie - Fresney,mairie.fresney@wanadoo.fr,2 place de la Mairie,27220,Fresney,https://lannuaire.service-public.gouv.fr/normandie/eure/17f269d7-e00b-4f6b-a7b3-816db0a60a64,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Gamaches-en-Vexin,Mairie - Gamaches-en-Vexin,communegamachesenvexin@orange.fr,8 rue Oulgate,27150,Gamaches-en-Vexin,https://lannuaire.service-public.gouv.fr/normandie/eure/d4fcb4b7-84d3-4602-a24e-537291b4a725,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Gauciel,Mairie - Gauciel,commune.gauciel@wanadoo.fr,9 rue de la Mairie,27930,Gauciel,https://lannuaire.service-public.gouv.fr/normandie/eure/2b056e1a-ee05-4314-ba9f-ee6ccdc3c32a,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Gauville-la-Campagne,Mairie - Gauville-la-Campagne,mairie.gauvillecgne@orange.fr,2 rue d'Aviron,27930,Gauville-la-Campagne,https://lannuaire.service-public.gouv.fr/normandie/eure/53e8fb3c-d118-4646-a584-c5e8f9332809,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Giverville,Mairie - Giverville,mairie.giverville@orange.fr,2 place du Major-Quance,27560,Giverville,https://lannuaire.service-public.gouv.fr/normandie/eure/c3193246-249b-4e7b-9372-eee09a8165dd,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Gournay-le-Guérin,Mairie - Gournay-le-Guérin,mairie.gournayleguerin@orange.fr,3 rue de la Mairie,27580,Gournay-le-Guérin,https://lannuaire.service-public.gouv.fr/normandie/eure/6e598878-a679-4f44-84e4-1fab20cfda95,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Grand-Camp,Mairie - Grand-Camp,mairie.grandcamp27@wanadoo.fr,Le Bourg,27270,Grand-Camp,https://lannuaire.service-public.gouv.fr/normandie/eure/dcd75868-ef57-40d4-8b2c-06a91bcef1b0,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Harcourt,Mairie - Harcourt,mairie@communeharcourt.com,2 place du Général-Chrétien,27800,Harcourt,https://lannuaire.service-public.gouv.fr/normandie/eure/ab8709ec-a5f7-45c7-af66-45a72eafac73,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Hardencourt-Cocherel,Mairie - Hardencourt-Cocherel,secretere.hardencourt@orange.fr,24 rue Du-Guesclin,27120,Hardencourt-Cocherel,https://lannuaire.service-public.gouv.fr/normandie/eure/30999b2f-f316-44a9-b87a-397de439a1a2,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Hecmanville,Mairie - Hecmanville,commune.hecmanville@orange.fr,Rue de l'Église,27800,Hecmanville,https://lannuaire.service-public.gouv.fr/normandie/eure/3784a9ac-4ac8-4bc4-adf4-7088e2cd6299,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Hectomare,Mairie - Hectomare,mairiehectomare@wanadoo.fr,4 rue de la Mairie,27110,Hectomare,https://lannuaire.service-public.gouv.fr/normandie/eure/eaf5ee84-1654-4275-9dd1-1f73421ad307,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Hennezis,Mairie - Hennezis,mairie.hennezis@wanadoo.fr,43 rue de Boursonne,27700,Hennezis,https://lannuaire.service-public.gouv.fr/normandie/eure/d8c86122-c92f-47d0-a704-888011d155ef,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Heudicourt,Mairie - Heudicourt,mairie-heudicourt@orange.fr,2 Grand'rue,27860,Heudicourt,https://lannuaire.service-public.gouv.fr/normandie/eure/abc25df6-01e2-4c47-9e7a-1d337fdac7ac,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Houetteville,Mairie - Houetteville,mairiehouetteville@orange.fr,Route d'Évreux,27400,Houetteville,https://lannuaire.service-public.gouv.fr/normandie/eure/c7283a54-f573-4604-82ed-88d49fee02db,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Hécourt,Mairie - Hécourt,commune.hecourt@orange.fr,1 rue Saint-Taurin,27120,Hécourt,https://lannuaire.service-public.gouv.fr/normandie/eure/70825503-22d8-4fe7-abe2-8aad85475534,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
Irreville,Mairie - Irreville,mairie.irreville@wanadoo.fr,Place de la Mairie,27930,Irreville,https://lannuaire.service-public.gouv.fr/normandie/eure/2725916b-2334-48d2-9d46-cf7cf29834e5,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
La Baronnie,Mairie - La Baronnie,mairie.labaronnie@orange.fr,Garencières Place du 19-Mars-1962,27220,La Baronnie,https://lannuaire.service-public.gouv.fr/normandie/eure/c1567b61-6f27-4f28-bfc0-37e1f3c9f8d5,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
La Croisille,Mairie - La Croisille,commune.lacroisille@gmail.com,8 rue Jean-Louis-Godard,27190,La Croisille,https://lannuaire.service-public.gouv.fr/normandie/eure/3d97739e-043a-4340-a926-3d71cb4e6777,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
La Goulafrière,Mairie - La Goulafrière,mairie.lagoulafriere@orange.fr,Place de la Mairie,27390,La Goulafrière,https://lannuaire.service-public.gouv.fr/normandie/eure/6e353912-3a51-48f2-ae4b-fe90e27f6376,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
La Harengère,Mairie - La Harengère,mairie-la-harengere@wanadoo.fr,8 rue de la Mairie,27370,La Harengère,https://lannuaire.service-public.gouv.fr/normandie/eure/ae18cf51-740d-44b8-bd69-2f04ab218c31,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
La Haye-Aubrée,Mairie - La Haye-Aubrée,lahayeaubree@wanadoo.fr,27 route de la Croix-Saint-Paul,27350,La Haye-Aubrée,https://lannuaire.service-public.gouv.fr/normandie/eure/2b9feef3-d7f2-40d4-95ee-24aacedd6914,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
La Haye-Saint-Sylvestre,Mairie - La Haye-Saint-Sylvestre,mairiela.haye.saint.sylvestre@wanadoo.fr,43 place de la Mairie,27330,La Haye-Saint-Sylvestre,https://lannuaire.service-public.gouv.fr/normandie/eure/34a8086c-44be-451e-869d-2a59803c889f,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
La Haye-de-Calleville,Mairie - La Haye-de-Calleville,mairie.hayedecalleville@orange.fr,16 rue des Canadiens,27800,La Haye-de-Calleville,https://lannuaire.service-public.gouv.fr/normandie/eure/8495d53e-7d8a-4a7a-afb7-44c50e519027,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
La Haye-de-Routot,Mairie - La Haye-de-Routot,mairiehayeroutot@gmail.com,81 rue des Broches,27350,La Haye-de-Routot,https://lannuaire.service-public.gouv.fr/normandie/eure/b9adfb26-71ce-4dca-92af-a0912af63095,0,0,0,0,0,0,0,,,,,100,très élevée,aucun DAE déclaré
